HOLE:	763B
LEG:	122
TOP:	334.061005
BOTTOM:	574.853027
DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
342.5954	3.9446	1.0911	0.1350	0.3224	0.0369	8.0645	2.6882	0.8961	0.4480	0.4480
342.7478	4.3612	1.4681	0.1992	0.3268	0.0461	9.1265	2.1730	0.8692	0.0000	0.8692
342.9002	4.3233	1.6511	0.2328	0.3019	0.0501	13.8765	4.4763	1.3429	0.0000	0.0000
343.0526	4.3066	1.7825	0.2563	0.2852	0.0531	10.1570	1.3850	0.4617	0.0000	0.0000
343.2050	3.7747	1.5758	0.2255	0.2484	0.0472	7.3903	4.1570	0.9238	0.9238	0.0000
343.3574	3.6334	1.6906	0.2458	0.2195	0.0499	10.1570	3.2318	0.9234	0.0000	0.0000
343.5098	3.8883	1.7118	0.2531	0.2459	0.0497	8.7760	1.3857	0.9238	0.0000	0.0000
343.6622	3.7091	1.7836	0.2651	0.2175	0.0515	12.0859	2.6858	0.4476	0.4476	0.0000
343.8146	3.5339	1.7555	0.2522	0.2009	0.0524	8.0609	3.5826	0.8957	0.0000	0.0000
343.9670	3.4545	1.9553	0.2762	0.1694	0.0593	7.1620	1.3429	0.8953	0.0000	0.0000
344.1194	3.0861	1.7436	0.2338	0.1517	0.0553	11.0855	2.3095	1.3857	0.4619	0.0000
344.2718	4.1250	1.9228	0.2213	0.2488	0.0682	3.6951	3.2333	1.3857	0.0000	0.4619
344.4242	4.1831	1.7853	0.1851	0.2709	0.0674	15.2262	4.0305	0.8957	0.0000	0.4478
344.5766	4.4706	1.9437	0.2054	0.2855	0.0726	9.5420	4.2939	1.9084	0.4771	0.0000
344.7290	3.9218	2.3312	0.2825	0.1797	0.0799	8.9686	2.2422	0.4484	0.0000	0.0000
344.8814	4.0396	2.8443	0.3554	0.1350	0.0954	11.2057	4.4823	0.0000	0.0000	0.0000
345.0338	3.9322	2.9185	0.3700	0.1145	0.0968	12.5392	4.4783	0.4478	0.0000	0.4478
345.1862	4.2880	3.2723	0.4315	0.1148	0.1053	7.8522	2.3095	0.0000	0.4619	0.0000
345.3386	4.0695	3.2763	0.4448	0.0896	0.1029	14.3319	3.6986	0.4623	0.0000	0.4623
345.4910	4.4304	3.6984	0.5127	0.0827	0.1140	9.6953	3.6934	1.8467	0.0000	0.0000
345.6434	4.0102	3.6454	0.5333	0.0412	0.1069	9.6863	3.6900	0.9225	0.4613	0.0000
345.7958	3.6662	3.3771	0.5146	0.0327	0.0950	11.6383	2.6858	0.4476	0.0000	0.0000
345.9482	3.7029	3.4718	0.5454	0.0261	0.0944	8.5049	2.2381	0.8953	0.0000	0.0000
346.1006	3.7231	3.4719	0.5538	0.0284	0.0927	11.0752	3.2303	0.4615	0.0000	0.4615
346.2530	3.9971	4.0088	0.6665	-0.0013	0.1017	9.5329	3.8132	1.4299	0.0000	0.4766
346.4054	4.0084	4.2925	0.7454	-0.0321	0.1026	10.3000	3.1348	0.8957	0.0000	0.4478
346.5578	3.6927	3.8454	0.6958	-0.0172	0.0864	8.9646	4.0341	1.3447	0.4482	0.0000
346.7102	3.9370	3.8090	0.6974	0.0145	0.0840	6.2696	4.0305	0.0000	0.0000	0.0000
346.8626	3.5641	3.1754	0.5811	0.0439	0.0701	10.9733	3.8168	0.4771	0.0000	0.4771
347.0150	3.7019	3.0824	0.5736	0.0700	0.0661	5.3788	4.0341	0.4482	0.0000	0.0000
347.1674	3.5823	2.9947	0.5494	0.0664	0.0658	8.7800	2.3105	0.0000	0.0000	0.0000
347.3198	3.7414	3.2328	0.5894	0.0575	0.0718	9.7132	3.7003	0.4625	0.0000	0.9251
